universe,case,events,avg 5d,median 5d,vs SPY 5d,beat SPY 5d,avg 20d,median 20d,vs SPY 20d,beat SPY 20d,avg 60d,median 60d,vs SPY 60d,beat SPY 60d,avg 120d,median 120d,vs SPY 120d,beat SPY 120d,avg 250d,median 250d,vs SPY 250d,beat SPY 250d,median worst fall next 60d,fell 10%+ more within 60d,distinct months
fallen/lagging control,"strong stock, 15% below 52w high, high set <60d ago",288,0.008740857743582827,0.007342656952811444,0.0033214671213098513,0.4965277777777778,0.024893336619984854,0.0036042236301169206,0.010666761615525266,0.4826388888888889,0.07883113303671424,0.01989690973420244,0.030415223288382188,0.4479166666666667,0.13149231625232907,0.06175844814422171,0.04555569589951029,0.4270833333333333,0.21080904161418593,0.03653503167460548,0.06064208735604722,0.3229166666666667,-0.11917636717189206,0.5625,115
fallen/lagging control,"strong stock, 20% below 52w high",392,0.0069146192107035825,0.0009864649859806507,0.002881690258819689,0.4362244897959184,0.016213298921324358,0.010565031307970485,0.004873332392067556,0.5025510204081632,0.05297763567122693,0.012886597938144284,0.012794898703129387,0.45153061224489793,0.07196833755154307,-0.00425676826153587,0.004835968987204534,0.3673469387755102,0.10156438818602724,-0.03282958375371364,-0.015460563728620631,0.2627551020408163,-0.12678343440830236,0.6071428571428571,128
fallen/lagging control,"strong stock, 20% below 52w high, high set <60d ago",173,0.014042266554532673,0.0037278657968313755,0.012302788384214721,0.4682080924855491,0.011922881555500836,-0.0012142433569592992,0.0006707380683751533,0.4508670520231214,0.09796683477892958,0.049030058550775135,0.04286772334062214,0.4624277456647399,0.15954890092936314,0.06761730062668247,0.06446280775338926,0.42196531791907516,0.2558581412344104,0.034091858037578304,0.09997683419736192,0.32947976878612717,-0.14301325741236026,0.6589595375722543,73
fallen/lagging control,"strong stock, 25% below 52w high",282,0.013840551313231298,0.0015270680328542952,0.009606106275044244,0.4716312056737589,0.02409240918984836,0.016556799018856427,0.009588343743975644,0.4858156028368794,0.0721572261798179,0.021308980213089912,0.030968235332772303,0.4326241134751773,0.09052514431721129,0.004843739277288983,0.02174974238029225,0.4148936170212766,0.13739097904670006,-0.02579978192693555,0.01860565553166142,0.2765957446808511,-0.14683188828390642,0.6312056737588653,108
fallen/lagging control,"strong stock, 25% below 52w high, high set <60d ago",116,0.0388673243852273,0.012282012954658694,0.03425163656440137,0.4827586206896552,0.023429787717101015,0.014731864822073115,0.0072403912780417395,0.46551724137931033,0.14516709706204473,0.06231185835808051,0.08085877883955701,0.5086206896551724,0.2875995555538358,0.14679151748829522,0.17514881965877835,0.5172413793103449,0.3445184154252539,0.044225958621676664,0.16369367246841146,0.3275862068965517,-0.1722338850484899,0.6551724137931034,55
fallen/lagging control,"strong stock, 30% below 52w high",197,0.025829678920249288,0.016525234479678463,0.020329710796860384,0.5431472081218274,0.03078494206665917,0.023220860605355886,0.01459815103360406,0.5228426395939086,0.0890719271734646,0.03988508206241015,0.046394492523535426,0.5025380710659898,0.13496796435904154,0.023973540046256847,0.07137296346141536,0.4416243654822335,0.14545946953724928,-0.10756419153365704,0.037449849158855346,0.27411167512690354,-0.14904301686564336,0.6598984771573604,86
fallen/lagging control,"strong stock, 30% below 52w high, high set <60d ago",78,0.04727265549243953,0.02282706164001802,0.04360272622942237,0.6153846153846154,0.015397251027632586,0.016129668336159808,-0.0010361666806085789,0.5,0.15100486586135817,0.08819035394460228,0.08153887922342133,0.5512820512820513,0.30835494706879935,0.16300759785548646,0.1961109350062201,0.5256410256410257,0.31965357161499963,0.040945406125166395,0.1490354348140106,0.2948717948717949,-0.156038370635181,0.6923076923076923,46
fallen/lagging control,"20% dip, 2011-2018 only",104,0.00758589950569452,0.007606785479247868,0.0016557074002412002,0.5192307692307693,0.00240319902042202,0.010565031307970485,-0.006361682659468285,0.5288461538461539,0.020428654750223287,0.011553996430629931,-0.00021529015917717617,0.4807692307692308,0.045462556445892366,-0.003209258157792938,0.00372825947607477,0.41346153846153844,0.06867644774640357,0.017159586365051993,-0.027330731642416593,0.38461538461538464,-0.10102743410435716,0.5096153846153846,45
fallen/lagging control,"20% dip, 2019-2026 only",288,0.006670517285252337,-0.0012661236551297361,0.0033275022073936847,0.40625,0.021235153430743392,0.010482205578605464,0.00895879241080786,0.4930555555555556,0.0650242335921678,0.020802620802620853,0.01761005757031758,0.4409722222222222,0.08229268674625347,-0.006086074481959081,0.005267436362326234,0.3506944444444444,0.11643545690655269,-0.07545917000097718,-0.010093183454556377,0.21875,-0.1332801541466314,0.6423611111111112,83
fallen/lagging control,"20% dip, excluding 2020 and 2022",312,0.012243194284911963,0.002545865232212008,0.0063168538175441625,0.4391025641025641,0.014611808204160148,0.008945163596171035,0.0011361004982045762,0.49038461538461536,0.02919819299139911,0.009179575444635768,-0.01115590204846763,0.42628205128205127,0.032653479438390996,-0.011565377532228305,-0.03312021824673496,0.36217948717948717,0.024510029135570464,-0.04976827292165542,-0.07128976700644138,0.25,-0.12435640755304195,0.5801282051282052,107
