date,equity,cash,n_pos
2023-02-27,2545.908491385998,41.42649138599768,3
2023-02-28,2551.0964913859975,624.1464913859977,2
2023-03-01,2560.6244913859978,624.1464913859977,2
2023-03-02,2560.928491385998,1529.7964913859978,1
2023-03-03,2599.186491385998,569.2764913859978,2
2023-03-06,2605.0471913859974,1021.2351913859977,2
2023-03-07,2582.9551913859978,1021.2351913859977,2
2023-03-08,2585.323191385998,1021.2351913859977,2
2023-03-09,2551.5711913859977,744.3651913859976,2
2023-03-10,2535.6526713859976,2535.6526713859976,0
2023-03-13,2535.6526713859976,2535.6526713859976,0
2023-03-14,2563.1246713859973,32.468671385997595,3
2023-03-15,2535.0726713859976,32.468671385997595,3
2023-03-16,2586.878671385997,32.468671385997595,3
2023-03-17,2571.520671385998,32.468671385997595,3
2023-03-20,2614.3046713859976,32.468671385997595,3
2023-03-21,2577.828671385997,32.468671385997595,3
2023-03-22,2546.940671385997,32.468671385997595,3
2023-03-23,2585.8566713859973,32.468671385997595,3
2023-03-24,2562.1306713859976,32.468671385997595,3
2023-03-27,2544.122671385998,32.468671385997595,3
2023-03-28,2544.618671385998,864.6986713859976,2
2023-03-29,2575.3190713859976,703.6318713859977,2
2023-03-30,2614.7454713859975,93.63187138599767,3
2023-03-31,2647.7529913859976,487.07539138599765,3
2023-04-03,2646.983791385998,487.07539138599765,3
2023-04-04,2622.8341913859977,487.07539138599765,3
2023-04-05,2586.4013913859976,487.07539138599765,3
2023-04-06,2549.6713913859976,1057.9753913859977,2
2023-04-10,2542.5405913859977,653.3153913859976,2
2023-04-11,2536.5785913859977,39.58739138599765,3
2023-04-12,2529.4813913859975,39.58739138599765,3
2023-04-13,2569.4753913859977,30.345391385997686,3
2023-04-14,2574.1439913859977,530.0139913859977,3
2023-04-17,2595.9139913859976,530.0139913859977,3
2023-04-18,2599.2539913859973,530.0139913859977,3
2023-04-19,2589.8139913859973,530.0139913859977,3
2023-04-20,2570.5589913859976,1010.7889913859976,2
2023-04-21,2577.4589913859977,1010.7889913859976,2
2023-04-24,2541.1087113859976,140.37471138599756,3
2023-04-25,2489.2108373859974,553.2408373859976,2
2023-04-26,2494.7008373859976,2494.7008373859976,0
2023-04-27,2485.5988373859977,76.02283738599766,3
2023-04-28,2509.8668373859978,76.02283738599766,3
2023-05-01,2563.8528373859976,76.02283738599766,3
2023-05-02,2522.5428373859977,76.02283738599766,3
2023-05-03,2498.9148373859975,76.02283738599766,3
2023-05-04,2477.184837385998,76.02283738599766,3
2023-05-05,2524.4728373859975,76.02283738599766,3
2023-05-08,2542.488837385998,76.02283738599766,3
2023-05-09,2518.7588373859976,76.02283738599766,3
2023-05-10,2535.802837385998,76.02283738599766,3
2023-05-11,2535.1908373859974,76.02283738599766,3
2023-05-12,2521.172437385998,65.47283738599776,3
2023-05-15,2527.029397385998,1385.6493973859979,2
2023-05-16,2521.411847385998,1233.4198473859979,2
2023-05-17,2552.381847385998,269.41984738599785,3
2023-05-18,2650.4421113859976,765.2841113859978,3
2023-05-19,2628.3001113859978,765.2841113859978,3
2023-05-22,2617.0141113859977,765.2841113859978,3
2023-05-23,2579.372111385998,765.2841113859978,3
2023-05-24,2600.970111385998,765.2841113859978,3
2023-05-25,2729.0141113859977,765.2841113859978,3
2023-05-26,2806.4750473859976,1301.7210473859977,3
2023-05-30,2849.2300473859978,1301.7210473859977,3
2023-05-31,2816.041047385998,1301.7210473859977,3
2023-06-01,2860.1630473859977,1301.7210473859977,3
2023-06-02,2848.6080473859975,1301.7210473859977,3
2023-06-05,2853.374047385998,1301.7210473859977,3
2023-06-06,2839.1450473859977,1301.7210473859977,3
2023-06-07,2814.224047385998,1301.7210473859977,3
2023-06-08,2851.949047385998,1301.7210473859977,3
2023-06-09,2878.389047385998,1301.7210473859977,3
2023-06-12,2915.7630473859977,1301.7210473859977,3
2023-06-13,2959.157047385998,1301.7210473859977,3
2023-06-14,3016.6840473859975,1301.7210473859977,3
2023-06-15,3029.8500473859976,1301.7210473859977,3
2023-06-16,3008.6090473859977,1301.7210473859977,3
2023-06-20,3021.1570473859974,1301.7210473859977,3
2023-06-21,2994.016047385998,1301.7210473859977,3
2023-06-22,2986.3580473859975,1301.7210473859977,3
2023-06-23,2968.822047385998,1301.7210473859977,3
2023-06-26,2925.1210473859974,1301.7210473859977,3
2023-06-27,2951.0450473859973,1301.7210473859977,3
2023-06-28,2952.0760473859978,1301.7210473859977,3
2023-06-29,2948.5710473859976,1301.7210473859977,3
2023-06-30,2994.811047385998,1301.7210473859977,3
2023-07-03,2992.208047385998,1301.7210473859977,3
2023-07-05,2993.2500473859977,1301.7210473859977,3
2023-07-06,2978.1980473859976,1301.7210473859977,3
2023-07-07,2979.702047385998,485.2410473859977,3
2023-07-10,2975.755047385998,485.2410473859977,3
2023-07-11,2969.1715573859974,518.6325573859974,3
2023-07-12,3002.0245573859975,518.6325573859974,3
2023-07-13,3064.585557385997,518.6325573859974,3
2023-07-14,3057.0475573859976,518.6325573859974,3
2023-07-17,3118.4035573859974,518.6325573859974,3
2023-07-18,3182.2743573859975,1113.8343573859975,3
2023-07-19,3168.3453573859974,1113.8343573859975,3
2023-07-20,3083.5623573859975,1113.8343573859975,3
2023-07-21,3064.0533573859975,1726.1523573859974,2
2023-07-24,3040.1783573859975,543.8223573859975,3
2023-07-25,3062.5613573859973,505.9323573859974,3
2023-07-26,3053.2083573859973,505.9323573859974,3
2023-07-27,3040.212357385997,505.9323573859974,3
2023-07-28,3141.8523573859975,827.6923573859975,3
2023-07-31,3125.3453573859974,827.6923573859975,3
2023-08-01,3107.3533573859972,827.6923573859975,3
2023-08-02,3063.1093573859976,524.2123573859976,3
2023-08-03,3054.1243573859974,59.05235738599754,3
2023-08-04,3082.6477573859975,57.8179573859976,3
2023-08-07,3106.157357385998,57.8179573859976,3
2023-08-08,3077.5360973859974,74.09859738599744,3
2023-08-09,3061.5162973859974,74.09859738599744,3
2023-08-10,3066.860797385997,25.490797385997325,3
2023-08-11,3071.1007973859973,838.3907973859974,2
2023-08-14,3087.0707973859976,71.89079738599742,3
2023-08-15,3052.0607973859974,71.89079738599742,3
2023-08-16,3031.1707973859975,113.57079738599737,3
2023-08-17,3052.3224773859974,3052.3224773859974,0
2023-08-18,3052.3224773859974,3052.3224773859974,0
2023-08-21,3040.294477385997,46.21627738599739,3
2023-08-22,3043.4326773859975,85.38227738599744,3
2023-08-23,3059.8561973859973,71.02459738599748,3
2023-08-24,3006.7749973859973,71.02459738599748,3
2023-08-25,3022.7749973859973,1160.5249973859973,2
2023-08-28,3035.494997385997,143.3549973859972,3
2023-08-29,3092.764997385997,143.3549973859972,3
2023-08-30,3110.554997385997,143.3549973859972,3
2023-08-31,3121.924997385997,143.3549973859972,3
2023-09-01,3141.6649973859976,606.8549973859972,3
2023-09-05,3126.8449973859974,606.8549973859972,3
2023-09-06,3122.674997385997,606.8549973859972,3
2023-09-07,3107.594997385997,21.394997385997385,3
2023-09-08,3108.304997385997,21.394997385997385,3
2023-09-11,3116.2349973859973,21.394997385997385,3
2023-09-12,3115.634997385997,21.394997385997385,3
2023-09-13,3124.7749973859973,21.394997385997385,3
2023-09-14,3111.160517385998,298.0605173859974,3
2023-09-15,3088.080517385997,334.77051738599744,3
2023-09-18,3098.370517385997,334.77051738599744,3
2023-09-19,3107.1305173859973,334.77051738599744,3
2023-09-20,3059.5873473859974,401.9873473859975,3
2023-09-21,3006.5273473859975,1835.2673473859975,1
2023-09-22,3006.8873473859976,3006.8873473859976,0
2023-09-25,3006.8873473859976,3006.8873473859976,0
2023-09-26,2982.487347385997,656.1273473859976,2
2023-09-27,3019.2873473859977,1817.2873473859977,1
2023-09-28,3011.987347385998,1817.2873473859977,1
2023-09-29,2958.9673473859975,59.42734738599768,3
2023-10-02,2931.1173473859976,823.3773473859978,2
2023-10-03,2918.157347385998,2918.157347385998,0
2023-10-04,2918.157347385998,2918.157347385998,0
2023-10-05,2918.157347385998,2918.157347385998,0
2023-10-06,2948.577347385998,1784.4573473859982,1
2023-10-09,2962.8573473859983,1784.4573473859982,1
2023-10-10,2952.8373473859983,1784.4573473859982,1
2023-10-11,2935.617347385998,1784.4573473859982,1
2023-10-12,2932.277347385998,658.2173473859982,2
2023-10-13,2904.6773473859985,658.2173473859982,2
2023-10-16,2944.537347385998,658.2173473859982,2
2023-10-17,2915.3893473859985,723.5293473859982,2
2023-10-18,2899.529347385998,1734.329347385998,1
2023-10-19,2848.8093473859976,619.449347385998,2
2023-10-20,2817.0693473859983,1700.409347385998,1
2023-10-23,2808.6693473859978,2808.6693473859978,0
2023-10-24,2807.3413473859982,219.92934738599774,3
2023-10-25,2726.3453473859977,141.16934738599775,3
2023-10-26,2713.3852073859975,2713.3852073859975,0
2023-10-27,2713.3852073859975,2713.3852073859975,0
2023-10-30,2724.3052073859976,1637.9752073859977,1
2023-10-31,2744.6145073859975,2112.2545073859974,1
2023-11-01,2750.6945073859974,2112.2545073859974,1
2023-11-02,2747.3345073859973,2112.2545073859974,1
2023-11-03,2737.0945073859975,2112.2545073859974,1
2023-11-06,2745.1745073859975,2112.2545073859974,1
2023-11-07,2746.6945073859974,2112.2545073859974,1
2023-11-08,2746.6945073859974,2112.2545073859974,1
2023-11-09,2753.6545073859975,2112.2545073859974,1
2023-11-10,2753.8145073859973,2112.2545073859974,1
2023-11-13,2766.0145073859976,1360.4945073859974,2
2023-11-14,2738.5145073859976,1360.4945073859974,2
2023-11-15,2731.014507385997,2100.3345073859973,1
2023-11-16,2740.0945073859975,2100.3345073859973,1
2023-11-17,2727.234507385997,1505.2445073859972,2
2023-11-20,2740.244507385997,1505.2445073859972,2
2023-11-21,2752.824507385997,720.8945073859973,3
2023-11-22,2755.8445073859975,720.8945073859973,3
2023-11-24,2775.1145073859975,720.8945073859973,3
2023-11-27,2777.3345073859973,720.8945073859973,3
2023-11-28,2811.184507385997,220.89450738599726,3
2023-11-29,2850.6645073859972,220.89450738599726,3
2023-11-30,2885.084507385997,220.89450738599726,3
2023-12-01,2894.3345073859973,220.89450738599726,3
2023-12-04,2776.0417873859974,1262.5717873859974,2
2023-12-05,2805.741787385997,245.12178738599744,3
2023-12-06,2764.321787385997,245.12178738599744,3
2023-12-07,2800.9517873859972,245.12178738599744,3
2023-12-08,2816.025043813875,691.7750438138751,3
2023-12-11,2850.1850438138754,221.09504381387524,3
2023-12-12,2856.865043813875,221.09504381387524,3
2023-12-13,2892.585043813875,221.09504381387524,3
2023-12-14,2878.375043813875,221.09504381387524,3
2023-12-15,2945.8054638138747,834.9854638138751,3
2023-12-18,2958.752323813875,1287.132323813875,3
2023-12-19,2971.787323813875,1287.132323813875,3
2023-12-20,2941.9623238138747,1287.132323813875,3
2023-12-21,2963.632323813875,1287.132323813875,3
2023-12-22,2972.1273238138747,1287.132323813875,3
2023-12-26,3008.5023238138747,1287.132323813875,3
2023-12-27,3006.6223238138755,1287.132323813875,3
2023-12-28,2999.092323813875,1287.132323813875,3
2023-12-29,2990.4623238138747,1287.132323813875,3
2024-01-02,2941.632323813875,1287.132323813875,3
2024-01-03,2918.362323813875,1195.352323813875,2
2024-01-04,2885.9023238138752,110.24232381387515,3
2024-01-05,2885.692723813875,100.66792381387518,3
2024-01-08,2978.1270238138754,76.13952381387526,3
2024-01-09,2948.7795238138756,76.13952381387526,3
2024-01-10,2948.032023813875,76.13952381387526,3
2024-01-11,2975.294523813875,76.13952381387526,3
2024-01-12,2957.414223813875,643.7092238138753,3
2024-01-16,2961.659223813875,1716.7292238138753,2
2024-01-17,2928.264223813875,1139.6892238138753,2
2024-01-18,2963.229223813875,3.2892238138751964,3
2024-01-19,3013.004223813875,3.2892238138751964,3
2024-01-22,3025.109223813875,3.2892238138751964,3
2024-01-23,3101.609223813875,3.2892238138751964,3
2024-01-24,3087.1754238138756,597.8004238138753,3
2024-01-25,3135.030423813875,597.8004238138753,3
2024-01-26,3139.4564114488353,1233.6964114488353,3
2024-01-29,3152.4364114488353,1233.6964114488353,3
2024-01-30,3156.4864114488355,1233.6964114488353,3
2024-01-31,3081.526411448835,611.4964114488353,3
2024-02-01,3036.046411448836,541.2364114488353,3
2024-02-02,3080.2764114488355,541.2364114488353,3
2024-02-05,3088.605721448835,1163.9307214488351,3
2024-02-06,3053.980721448835,1163.9307214488351,3
2024-02-07,3066.3857214488353,1163.9307214488351,3
2024-02-08,3106.875721448835,629.2107214488351,3
2024-02-09,3126.1757214488352,629.2107214488351,3
2024-02-12,3134.630721448835,629.2107214488351,3
2024-02-13,3043.3607214488347,629.2107214488351,3
2024-02-14,3087.230721448835,356.75072144883507,3
2024-02-15,3116.2657214488354,356.75072144883507,3
2024-02-16,3078.5507214488352,356.75072144883507,3
2024-02-20,3053.865721448835,356.75072144883507,3
2024-02-21,3059.025721448835,356.75072144883507,3
2024-02-22,3119.7007214488353,356.75072144883507,3
2024-02-23,3112.125721448835,356.75072144883507,3
2024-02-26,3126.662721448835,593.1627214488349,3
2024-02-27,3118.335221448835,593.1627214488349,3
2024-02-28,3124.861281448835,480.54878144883514,3
2024-02-29,3142.9787814488354,480.54878144883514,3
2024-03-01,3244.4887814488347,480.54878144883514,3
2024-03-04,3275.843781448835,480.54878144883514,3
2024-03-05,3215.151281448835,480.54878144883514,3
2024-03-06,3257.133781448835,480.54878144883514,3
2024-03-07,3299.476281448835,1075.2912814488352,3
2024-03-08,3205.1087814488355,1075.2912814488352,3
2024-03-11,3160.771281448835,974.5812814488352,3
2024-03-12,3188.341281448835,140.79128144883498,3
2024-03-13,3185.5312814488348,140.79128144883498,3
2024-03-14,3185.6112814488347,140.79128144883498,3
2024-03-15,3115.7167214488345,109.31672144883487,3
2024-03-18,3124.8867214488346,109.31672144883487,3
2024-03-19,3142.6367214488346,109.31672144883487,3
2024-03-20,3189.4967214488347,109.31672144883487,3
2024-03-21,3389.225541448835,1331.975541448835,3
2024-03-22,3391.445541448835,1331.975541448835,3
2024-03-25,3438.215541448835,649.755541448835,3
2024-03-26,3448.8855414488353,649.755541448835,3
2024-03-27,3466.2755414488356,649.755541448835,3
2024-03-28,3471.205541448835,649.755541448835,3
2024-04-01,3509.0555414488354,649.755541448835,3
2024-04-02,3496.5955414488353,649.755541448835,3
2024-04-03,3516.7755414488356,649.755541448835,3
2024-04-04,3414.4205414488347,537.2155414488348,3
2024-04-05,3445.5455414488347,1840.2055414488348,2
2024-04-08,3418.1105414488347,509.70554144883477,3
2024-04-09,3416.9655414488343,583.7455414488347,3
2024-04-10,3377.9911314488345,613.4111314488348,3
2024-04-11,3471.631131448835,440.4011314488348,3
2024-04-12,3386.631131448835,440.4011314488348,3
2024-04-15,3300.792491448835,527.8424914488348,3
2024-04-16,3297.4324914488348,461.66249144883477,3
2024-04-17,3255.8124914488344,461.66249144883477,3
2024-04-18,3237.2224914488347,757.6024914488348,2
2024-04-19,3183.1024914488344,601.1624914488348,2
